ROI.name	SubCellTypes	CellTypes	TissueSubTypes	TissueTypes	Zones	Sections	Atlas	ROI.id	point	x	y
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	1	110.80371	358.05859
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	2	109.78573	358.47743
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	3	109.70023	363.68376
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	4	109.70623	364.00144
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	5	110.81049	363.71341
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	6	111.92319	363.41691
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	7	111.91039	362.38742
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	8	111.88969	361.12728
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	9	111.82299	357.65198
Metaxylem.m1	Metaxylem	Xylem	Vasculature	Stele	m	m1	Metaxylem_m1	288	10	110.80398	358.05859
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	1	108.17873	357.7093
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	2	107.83549	360.00473
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	3	107.51626	362.25124
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	4	107.56786	362.30034
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	5	109.55468	364.00295
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	6	109.65178	358.60058
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	7	109.65176	358.37785
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	8	108.93461	358.01914
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	9	108.21013	357.66044
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	255	10	108.17883	357.70934
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	1	112.80593	357.14031
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	2	112.01908	357.59519
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	3	111.97918	357.55719
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	4	111.95638	357.55419
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	5	111.90678	357.61249
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	6	111.85788	357.63609
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	7	111.90678	357.63809
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	8	111.95648	357.85148
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	9	112.02398	361.32333
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	10	112.73819	361.29003
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	11	113.52605	361.24833
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	12	113.60755	361.2478
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	13	113.60755	358.96553
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	14	113.59125	356.68484
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	323	15	112.80584	357.14129
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	1	113.73756	360.11316
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	2	113.76356	363.61891
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	3	113.79006	365.5454
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	4	114.28035	365.69587
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	5	114.77063	365.84634
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	6	114.77763	365.76914
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	7	114.59397	358.55452
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	8	114.21945	358.61432
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	9	113.75947	358.62932
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	10	113.79747	358.56862
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	11	113.78657	358.54732
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	353	12	113.73767	358.53392
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	374	1	115.28852	358.41781
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	374	2	114.73045	358.53002
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	374	3	114.91879	365.78213
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	374	4	115.7833	365.97092
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	374	5	116.64583	366.10652
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	374	6	116.28175	362.22758
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	374	7	115.91166	358.35314
Procambium.m1	Procambium	Procambium	Vasculature	Stele	m	m1	Procambium_m1	374	8	115.28852	358.41784
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	1	116.63453	356.00461
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	2	115.91196	356.3019
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	3	115.91296	356.42145
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	4	116.14948	359.61663
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	5	116.31045	361.2388
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	6	117.93069	361.3213
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	7	117.73722	359.38844
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	8	117.71972	359.23629
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	9	117.3722	355.76556
PPP.m1	PPP	PPP	Pericycle	Stele	m	m1	PPP_m1	392	10	117.3567	355.70736
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	1	118.22284	355.3631
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	2	117.51001	355.70694
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	3	117.67666	357.49473
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	4	117.85687	359.26886
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	5	118.59145	359.26886
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	6	119.37111	359.22686
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	7	119.41621	359.18486
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	8	119.19089	357.10766
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	9	118.94382	355.03169
Endodermis.m1	Endodermis	Endodermis	Endodermis	Ground tissue	m	m1	Endodermis_m1	426	10	118.22284	355.36313
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	453	1	119.82594	354.90278
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	453	2	119.0898	354.95318
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	453	3	119.55188	359.28501
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	453	4	120.42884	358.93724
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	453	5	121.30279	358.55155
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	453	6	121.07009	356.68769
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	453	7	120.83647	354.85644
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	453	8	120.69438	354.85944
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	453	9	119.82594	354.90294
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	456	1	120.4083	359.07915
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	456	2	119.50357	359.4462
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	456	3	119.54067	359.61293
Cortex.m1	Cortex	Cortex	Cortex	Ground tissue	m	m1	Cortex_m1	456	4	119.9006	361.27943
