ROI.name	SubCellTypes	CellTypes	TissueSubTypes	TissueTypes	Zones	Sections	Atlas	ROI.id	point	x	y
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	1	110.29407	248.63336
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	2	104.82634	249.48206
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	3	101.10217	253.20851
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	4	97.377993	256.93497
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	5	98.203543	260.06105
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	6	99.115813	263.24072
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	7	101.13527	263.53494
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	8	103.068	263.77557
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	9	109.32795	263.55284
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	10	121.10884	263.14956
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	11	126.98411	262.92676
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	12	127.33844	262.88456
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	13	128.58249	259.31787
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	14	129.73753	255.56061
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	15	125.97733	249.20667
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	16	116.0661	247.82165
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	29	17	110.29407	248.6334
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	1	89.825303	257.24194
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	2	83.515303	257.51286
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	3	80.126413	262.34741
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	4	76.760323	267.15125
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	5	75.590173	272.9036
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	6	74.420023	278.71166
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	7	79.918353	279.17968
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	8	98.653403	263.46712
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	9	98.846823	263.28187
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	10	98.023313	260.15189
Cortex.d	Cortex	Cortex	Cortex	Ground tissue	d	d	Cortex_d	11	11	97.199543	257.00018
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	1	89.625213	271.33155
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	2	80.145513	279.30864
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	3	80.243713	281.2615
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	4	80.531523	283.11599
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	5	83.780663	282.83415
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	6	86.983413	282.50592
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	7	92.863593	278.41482
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	8	98.743783	274.32373
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	9	100.76427	272.06319
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	10	102.95476	269.61609
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	11	102.96936	266.76594
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	12	102.76489	264.02287
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	13	99.200693	263.49923
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	14	14	89.625183	271.33155
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	1	113.97945	263.56145
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	2	103.03165	263.98514
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	3	103.31775	269.37899
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	4	106.19798	269.4828
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	5	116.41387	269.98713
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	6	123.76062	270.39869
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	7	128.09233	272.77542
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	8	132.42404	275.15215
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	9	135.91727	273.18153
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	10	139.4325	271.19483
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	11	133.43274	267.1651
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	12	127.41098	263.15145
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	13	126.15094	263.16265
Endodermis.d	Endodermis	Endodermis	Endodermis	Ground tissue	d	d	Endodermis_d	35	14	113.97945	263.56149
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	1	109.36489	272.02958
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	2	109.85513	274.32373
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	3	113.63443	275.59221
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	4	117.41373	276.8607
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	5	118.91168	276.9213
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	6	120.40964	276.9819
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	7	121.92122	273.95744
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	8	123.48799	270.75593
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	9	116.91376	270.20746
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	10	109.5795	269.78577
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	44	11	108.87466	269.73547
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	1	122.21118	273.82867
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	2	120.67412	276.99659
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	3	121.95654	278.20214
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	4	123.51115	279.60578
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	5	127.7714	280.57709
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	6	131.75945	281.29552
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	7	133.36791	280.47122
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	8	135.0931	279.53902
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	9	133.80908	277.43013
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	10	132.30125	275.34375
XPP.d	XPP	XPP	Pericycle	Stele	d	d	XPP_d	54	11	123.8308	270.71556
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	1	115.3574	280.65207
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	2	113.21412	284.236
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	3	113.70683	286.26767
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	4	114.19954	288.29934
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	5	117.45354	289.55138
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	6	120.80741	290.69282
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	7	122.22836	288.86546
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	8	123.54943	287.1487
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	9	123.59583	283.56189
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	10	123.64213	279.97508
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	11	122.0672	278.58397
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	12	120.49227	277.19287
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	13	119.60508	277.13837
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	14	118.10928	277.07597
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	15	117.50067	277.06797
Protoxylem.d	Protoxylem	Xylem	Vasculature	Stele	d	d	Protoxylem_d	47	16	115.3574	280.6519
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	1	108.10707	276.45576
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	2	106.39062	278.37664
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	3	106.55513	280.74013
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	4	106.71964	283.10362
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	5	109.84962	283.59611
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	6	113.05239	284.0196
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	7	115.20383	280.4848
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	8	117.28246	277.01899
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	9	113.69645	275.82286
Procambium.d	Procambium	Procambium	Vasculature	Stele	d	d	Procambium_d	40	10	109.96699	274.58081
PPP.d	PPP	PPP	Pericycle	Stele	d	d	PPP_d	33	1	101.80732	271.20882
PPP.d	PPP	PPP	Pericycle	Stele	d	d	PPP_d	33	2	99.646803	273.63812
PPP.d	PPP	PPP	Pericycle	Stele	d	d	PPP_d	33	3	98.920853	274.45583
PPP.d	PPP	PPP	Pericycle	Stele	d	d	PPP_d	33	4	99.804353	276.86768
PPP.d	PPP	PPP	Pericycle	Stele	d	d	PPP_d	33	5	100.74765	279.33981
PPP.d	PPP	PPP	Pericycle	Stele	d	d	PPP_d	33	6	103.52205	278.81814
PPP.d	PPP	PPP	Pericycle	Stele	d	d	PPP_d	33	7	106.23664	278.2362
PPP.d	PPP	PPP	Pericycle	Stele	d	d	PPP_d	33	8	107.93445	276.32931
