ROI.name	SubCellTypes	CellTypes	TissueSubTypes	TissueTypes	Zones	Sections	Atlas	ROI.id	point	x	y
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	29	1	111.44733	224.48213
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	29	2	106.07855	226.78886
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	29	3	113.59779	243.08241
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	29	4	124.49872	241.40127
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	29	5	126.83436	224.50198
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	29	6	121.98658	223.30959
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	29	7	116.98733	222.24642
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	48	1	127.10561	224.4268
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	48	2	124.76582	241.42566
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	48	3	129.76326	242.10188
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	48	4	134.85911	242.60438
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	48	5	142.82058	231.15
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	48	6	141.09478	225.92711
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	48	7	134.37609	225.19964
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	48	8	127.39886	224.44788
Atrichoblast.t	Atrichoblast	Atrichoblast	Atrichoblast	Epidermis	t	t	Atrichoblast_t	48	9	127.10561	224.42678
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	1	118.92081	242.48197
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	2	113.55099	243.31927
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	3	109.85459	247.01684
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	4	106.15818	250.7144
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	5	106.99405	253.8854
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	6	107.84624	257.07305
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	7	109.80267	257.34183
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	8	111.74278	257.59395
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	9	123.62457	257.17655
Cortex.t	Cortex	Cortex	Cortex	Ground tissue	t	t	Cortex_t	28	10	135.81067	256.75507
