cluster_id,labeled_id,labeled_values
Atrichoblast_d,labeled_cross_diff,4   5   7  15  28  38  48  73  75  76  80
PPP_d,labeled_cross_diff,16  19  33  52  61  68  17  18  69  72  71
Cortex_d,labeled_cross_diff,8   9  11  24  29  58  66  77
Endodermis_d,labeled_cross_diff,12  13  14  22  35  57  70  74
Metaxylem_d,labeled_cross_diff,37  43  45
PCC_d,labeled_cross_diff,20  23  63  67
Procambium_d,labeled_cross_diff,27  40  46  60  41  55  32  39  26  49  51  65  30  59  31  34  53  56
Protoxylem_d,labeled_cross_diff,36  47
Trichoblast_d,labeled_cross_diff,2   3   6  10  50  62  78  79
XPP_d,labeled_cross_diff,25  42  44  54
