cluster_id,labeled_id,labeled_values
Atrichoblast_d,labeled_long,6  469
Atrichoblast_e1,labeled_long,15   22   23   24   26  479  485  486  490  495  497
Atrichoblast_e2,labeled_long,9   21   28  482  493  494
Atrichoblast_m1,labeled_long,30   31   33   35   40   42   49   57   84  112  150  443  467  475  477  488  489  501  502  503  508
Atrichoblast_m2,labeled_long,7    8   12   13   14   17   18   19   25   27   29  498  499  500  504  505  506  507  509  510  511  513
Atrichoblast_t,labeled_long,10   11   16  480  483  487  491  496
C1,labeled_long,171  240  324  423
Columella,labeled_long,172  180  247  261  334  335  414  417  176  260  329
CEI,labeled_long,216  355
PPP_d,labeled_long,109  127  309
PPP_e1,labeled_long,132  138  139  140  143  144  145  151  152  153  154  350  351  357  358  359  360  361  362  363  364  366  367
PPP_e2,labeled_long,129  134  135  136  137  141  142  332  339  343  349  356  365
PPP_m1,labeled_long,170  174  195  204  215  382  392  396  413  415  416
PPP_m2,labeled_long,160  161  162  163  165  166  168  169  386  387  389  391  410  411  412
PPP_t,labeled_long,146  147  155  156  158  159  368  370  375
CSCD,labeled_long,208  266  316  384
CSC,labeled_long,211  273  314  369
Cortex_d,labeled_long,41  372  388
Cortex_e1,labeled_long,47   48   50   51   54   55   59   60   61   62  429  432  433  434  435  438  444  446  447
Cortex_e2,labeled_long,43   44   46   53   58  406  418  419  427  428
Cortex_m1,labeled_long,79   81   82   87   89   91  123  149  179  397  437  453  456  460  461  462  464  465  466
Cortex_m2,labeled_long,66   67   69   70   73   74   76   77   78  455  457  458  459  463  470  471  473  474
Cortex_t,labeled_long,56   63   64   65   68  448  450  454
Endodermis_d,labeled_long,86   88  331  348
Endodermis_e1,labeled_long,97   98   99  100  104  105  110  111  113  114  115  116  117  394  398  400  401  402  403  404  407  408
Endodermis_e2,labeled_long,92   93   94   95   96  102  103  373  379  385  390  393
Endodermis_m1,labeled_long,131  133  148  157  164  175  207  383  405  426  431  436  442  449  451  452
Endodermis_m2,labeled_long,119  120  121  122  128  130  420  424  425  430  439  440  441  445
Endodermis_t,labeled_long,101  106  107  108  118  395  399  409
Young_LRC,labeled_long,71   80   90  124  167  422  468  481  512
LRCEI,labeled_long,185  421
LRC,labeled_long,3    4    5   20   32   34   36   37   39   45   52   72   75   83  125  126  472  476  484  492  514  515  516  517  519  520  521
Dying_LRC,labeled_long,38   85  478  518  522
Metaxylem_d,labeled_long,232
Metaxylem_e1,labeled_long,265  269  270  274  275
Metaxylem_e2,labeled_long,250  257  267  268
Metaxylem_m1,labeled_long,285  286  287  288  291
Metaxylem_m2,labeled_long,277  278  281  282  283
Metaxylem_t,labeled_long,262  271
Procambium_d,labeled_long,173  210  264  293
Procambium_e1,labeled_long,186  187  188  189  190  197  198  202  205  219  222  227  230  239  241  242  248  294  299  301  304  305  318  319  320  330  333  337  338
Procambium_e2,labeled_long,177  178  181  182  183  196  201  212  213  217  218  221  226  238  244  245  279  280  284  289  290  297  298  300  303  306  307  310  311  317  336
Procambium_m1,labeled_long,209  214  225  231  234  237  246  254  255  259  263  272  323  326  327  328  346  352  353  354  374  376  380  381
Procambium_m2,labeled_long,199  200  203  206  220  228  229  233  235  251  252  253  258  302  308  321  322  341  342  344  345  377  378
Procambium_t,labeled_long,184  191  192  193  194  223  224  243  249  295  296  315  325  340
QC,labeled_long,276  313
SI,labeled_long,236  256  292  312  347  371
